competition,home_team_long_name,home_team_short_name,home_team_abbrev,home_team_score,away_team_long_name,away_team_short_name,away_team_abbrev,away_team_score,match_date,date_url
Gallagher Premiership 2020,Sale Sharks,Sale Sharks,SALE,48,Harlequins,Harlequins,HQUIN,10,2020-01-03,https://www.espn.co.uk/rugby/scoreboard?date=20200103
United Rugby Championship 2020,Ulster,Ulster,ULST,38,Munster,Munster,MUNST,17,2020-01-03,https://www.espn.co.uk/rugby/scoreboard?date=20200103
United Rugby Championship 2020,Cardiff Blues,Cardiff Blues,CDB,14,Scarlets,Scarlets,SCARL,16,2020-01-03,https://www.espn.co.uk/rugby/scoreboard?date=20200103
Gallagher Premiership 2020,Leicester Tigers,Leicester Tigers,LEICS,31,Bristol Rugby,Bristol Rugby,BTL,18,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Gallagher Premiership 2020,Gloucester Rugby,Gloucester Rugby,GLOUC,29,Bath Rugby,Bath Rugby,BATH,15,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Gallagher Premiership 2020,Saracens,Saracens,SARAC,62,Worcester Warriors,Worcester Warriors,WORCS,5,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Top 14 Orange 2020,Agen,Agen,AGN,12,Lyon,Lyon,LYON,13,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Top 14 Orange 2020,Racing 92,Racing 92,RAMET,27,Clermont Auvergne,Clermont Auvergne,CLER,19,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Top 14 Orange 2020,Bordeaux Begles,Bordeaux Begles,BEG,22,Bayonne,Bayonne,BAY,3,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Top 14 Orange 2020,Montpellier Herault,Montpellier Herault,MONTP,29,Brive,Brive,BRIV,26,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Top 14 Orange 2020,Pau,Pau,PAU,13,La Rochelle,La Rochelle,LA RO,44,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
United Rugby Championship 2020,Benetton Treviso,Benetton Treviso,TRE,19,Glasgow Warriors,Glasgow Warriors,GLASG,38,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
United Rugby Championship 2020,Zebre,Zebre,ZEB,41,Cheetahs,Cheetahs,CHE,13,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
United Rugby Championship 2020,Dragons,Dragons,DRA,25,Ospreys,Ospreys,OSP,18,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
United Rugby Championship 2020,Leinster,Leinster,LEINS,54,Connacht,Connacht,CONN,7,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
United Rugby Championship 2020,Edinburgh,Edinburgh,EDINB,61,Southern Kings,Southern Kings,STHK,13,2020-01-04,https://www.espn.co.uk/rugby/scoreboard?date=20200104
Gallagher Premiership 2020,London Irish,London Irish,IRISH,28,Exeter Chiefs,Exeter Chiefs,EXET,45,2020-01-05,https://www.espn.co.uk/rugby/scoreboard?date=20200105
Gallagher Premiership 2020,Wasps,Wasps,WASPS,31,Northampton Saints,Northampton Saints,NTHMP,35,2020-01-05,https://www.espn.co.uk/rugby/scoreboard?date=20200105
Top 14 Orange 2020,Toulon,Toulon,TOUL,43,Castres Olympique,Castres Olympique,CAS,3,2020-01-05,https://www.espn.co.uk/rugby/scoreboard?date=20200105
Top 14 Orange 2020,Stade Francais Paris,Stade Francais Paris,SFRAN,30,Stade Toulousain,Stade Toulousain,TOUL,18,2020-01-05,https://www.espn.co.uk/rugby/scoreboard?date=20200105
European Rugby Champions Cup 2020,Bath Rugby,Bath Rugby,BATH,19,Harlequins,Harlequins,HQUIN,25,2020-01-10,https://www.espn.co.uk/rugby/scoreboard?date=20200110
European Rugby Champions Cup 2020,La Rochelle,La Rochelle,LA RO,30,Sale Sharks,Sale Sharks,SALE,23,2020-01-10,https://www.espn.co.uk/rugby/scoreboard?date=20200110
European Rugby Champions Cup 2020,Ospreys,Ospreys,OSP,15,Saracens,Saracens,SARAC,22,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Champions Cup 2020,Clermont Auvergne,Clermont Auvergne,CLER,29,Ulster,Ulster,ULST,13,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Champions Cup 2020,Glasgow Warriors,Glasgow Warriors,GLASG,31,Exeter Chiefs,Exeter Chiefs,EXET,31,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Champions Cup 2020,Connacht,Connacht,CONN,7,Stade Toulousain,Stade Toulousain,TOUL,21,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Champions Cup 2020,Gloucester Rugby,Gloucester Rugby,GLOUC,29,Montpellier Herault,Montpellier Herault,MONTP,6,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Bordeaux Begles,Bordeaux Begles,BEG,32,Edinburgh,Edinburgh,EDINB,17,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Calvisano,Calvisano,CALVI,19,Pau,Pau,PAU,47,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Agen,Agen,AGN,24,Wasps,Wasps,WASPS,52,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Castres Olympique,Castres Olympique,CAS,42,Dragons,Dragons,DRA,14,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Stade Francais Paris,Stade Francais Paris,SFRAN,24,Zebre,Zebre,ZEB,29,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Worcester Warriors,Worcester Warriors,WORCS,66,RC Enisei,RC Enisei,RCEN,10,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Bristol Rugby,Bristol Rugby,BTL,52,Brive,Brive,BRIV,3,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Bayonne,Bayonne,BAY,27,London Irish,London Irish,IRISH,10,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Challenge Cup 2020,Scarlets,Scarlets,SCARL,15,Toulon,Toulon,TOUL,27,2020-01-11,https://www.espn.co.uk/rugby/scoreboard?date=20200111
European Rugby Champions Cup 2020,Leinster,Leinster,LEINS,42,Lyon,Lyon,LYON,14,2020-01-12,https://www.espn.co.uk/rugby/scoreboard?date=20200112
European Rugby Champions Cup 2020,Northampton Saints,Northampton Saints,NTHMP,33,Benetton Treviso,Benetton Treviso,TRE,20,2020-01-12,https://www.espn.co.uk/rugby/scoreboard?date=20200112
European Rugby Champions Cup 2020,Racing 92,Racing 92,RAMET,39,Munster,Munster,MUNST,22,2020-01-12,https://www.espn.co.uk/rugby/scoreboard?date=20200112
European Rugby Challenge Cup 2020,Leicester Tigers,Leicester Tigers,LEICS,30,Cardiff Blues,Cardiff Blues,CDB,20,2020-01-12,https://www.espn.co.uk/rugby/scoreboard?date=20200112
European Rugby Challenge Cup 2020,Dragons,Dragons,DRA,47,RC Enisei,RC Enisei,RCEN,5,2020-01-17,https://www.espn.co.uk/rugby/scoreboard?date=20200117
European Rugby Challenge Cup 2020,Worcester Warriors,Worcester Warriors,WORCS,27,Castres Olympique,Castres Olympique,CAS,33,2020-01-17,https://www.espn.co.uk/rugby/scoreboard?date=20200117
